product_name,test_mape,test_wmape,correct_day_rate_15pct_or_2units,longest_correct_streak,direction_accuracy,reliability_rating
Breakfast,17.63200974806438,22.169811320754718,56.75675675675676,4,11.11111111111111,Moderate
Egg Rotti,20.252621304665112,23.442622950819672,40.54054054054054,6,63.888888888888886,Poor
Plain Tea,26.921681464368856,26.973569053036933,40.54054054054054,3,61.111111111111114,Poor
Tea,27.246970650454628,32.375979112271544,51.35135135135135,5,16.666666666666664,Moderate
Rolls,28.84063600713514,29.230038022813687,48.64864864864865,3,33.33333333333333,Poor
Dal Curry,29.00044376039186,45.98337950138504,67.56756756756756,6,36.11111111111111,Moderate
Roast bread,31.369214606078188,34.184397163120565,29.72972972972973,2,25.0,Poor
Vegitable Roti,34.791447101040376,38.23529411764706,29.72972972972973,3,22.22222222222222,Poor
Cigarette,36.411358653640875,39.79812545061283,32.432432432432435,2,25.0,Poor
Soft drinks,38.721833491587596,32.04798628963154,24.324324324324326,3,33.33333333333333,Poor
